competitionId,gameId,homeId,awayId,teamId1,teamId2,teamId,periodIdx,clock,awayLineupId,homeLineupId,actionType,subType,qualifiers,success,x,y,side,score1,score2,clock_seconds,game_clock_seconds,_match_period,frame_id
33533,2187675,104448,103384,104448,103384,104448,1,00:00:00,1608569;985798;1687571;1687722;1720217;,1605200;1912261;950230;1912262;1698339;,rebound,offensivedeadball,,True,0.0,0.0,LEFT,47,39,0.0,0.0,1,258
33533,2187675,104448,103384,104448,103384,0,1,00:00:00,1608569;985798;1687571;1687722;1720217;,1605200;1912261;950230;1912262;1698339;,period,end,confirmed,True,0.0,0.0,LEFT,47,39,0.0,0.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,00:00:40,1608569;985798;1687571;1687722;1720217;,1605200;1912261;950230;1912262;1698339;,3pt,jumpshot,fromturnover,False,29.0,85.0,LEFT,47,39,0.04,0.4,1,258
33533,2187675,104448,103384,104448,103384,104448,1,00:01:10,1608569;1895742;985798;1687571;1687722;,1605200;1912261;950230;1698334;1912262;,substitution,out,,True,0.0,0.0,LEFT,47,39,1.01,1.1,1,258
33533,2187675,104448,103384,104448,103384,103384,1,00:01:10,1608569;985798;1687571;1687722;,1605200;1912261;950230;1912262;1698339;,substitution,in,,True,0.0,0.0,RIGHT,47,39,1.01,1.1,1,258
33533,2187675,104448,103384,104448,103384,103384,1,00:01:10,1608569;1895742;985798;1687571;1687722;,1605200;1912261;950230;1912262;1698339;,substitution,out,,True,0.0,0.0,RIGHT,47,39,1.01,1.1,1,258
33533,2187675,104448,103384,104448,103384,104448,1,00:01:10,1608569;1895742;985798;1687571;1687722;,1605200;1912261;950230;1912262;,substitution,in,,True,0.0,0.0,LEFT,47,39,1.01,1.1,1,258
33533,2187675,104448,103384,104448,103384,103384,1,00:01:10,1608569;985798;1687571;1687722;1720217;,1605200;1912261;950230;1912262;1698339;,turnover,outofbounds,,True,35.0,96.0,RIGHT,47,39,1.01,1.1,1,258
33533,2187675,104448,103384,104448,103384,104448,1,00:03:60,1608569;1895742;985798;1687571;1687722;,1605200;1912261;950230;1698334;1912262;,2pt,layup,2ndchance;pointsinthepaint,True,9.0,49.0,LEFT,47,39,3.06,3.6,1,258
33533,2187675,104448,103384,104448,103384,104448,1,00:04:60,1608569;1895742;985798;1687571;1687722;,1605200;1912261;950230;1698334;1912262;,rebound,offensive,,True,0.0,0.0,LEFT,45,39,4.06,4.6,1,258
33533,2187675,104448,103384,104448,103384,104448,1,00:07:60,1608569;1895742;985798;1687571;1687722;,1605200;1912261;950230;1698334;1912262;,2pt,drivinglayup,pointsinthepaint,False,8.0,45.0,LEFT,45,39,7.06,7.6,1,258
33533,2187675,104448,103384,104448,103384,104448,1,00:19:80,1608569;1895742;985798;1687571;1687722;,1605200;1912261;950230;1698334;1912262;,timeout,short,,True,0.0,0.0,LEFT,45,39,19.08,19.8,1,258
33533,2187675,104448,103384,104448,103384,103384,1,00:29:70,1608569;1895742;985798;1687571;1687722;,1605200;1912261;950230;1698334;1912262;,3pt,jumpshot,,True,67.0,65.0,RIGHT,45,39,29.07,29.7,1,258
33533,2187675,104448,103384,104448,103384,103384,1,00:29:70,1608569;1895742;985798;1687571;1687722;,1605200;1912261;950230;1698334;1912262;,assist,,,True,0.0,0.0,RIGHT,45,39,29.07,29.7,1,258
33533,2187675,104448,103384,104448,103384,104448,1,00:45:10,1608569;1895742;985798;1687571;1687722;,1605200;1912261;950230;1698334;1912262;,3pt,jumpshot,,True,19.0,10.0,LEFT,45,36,45.01,45.1,1,258
33533,2187675,104448,103384,104448,103384,104448,1,00:45:10,1608569;1895742;985798;1687571;1687722;,1605200;1912261;950230;1698334;1912262;,assist,,,True,0.0,0.0,LEFT,45,36,45.01,45.1,1,258
33533,2187675,104448,103384,104448,103384,103384,1,01:08:00,1608569;1895742;985798;1687571;1895740;,1605200;1912261;950230;1698334;1698336;,foul,technical,classa;2freethrow,True,0.0,0.0,RIGHT,41,36,68.0,68.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,01:08:00,1608569;1895742;985798;1687571;1895740;,1605200;1912261;950230;1698334;1698336;,freethrow,1of2,,False,0.0,0.0,LEFT,41,36,68.0,68.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,01:08:00,1608569;1895742;985798;1687571;1895740;,1605200;1912261;950230;1698334;1698336;,substitution,out,,True,0.0,0.0,LEFT,42,36,68.0,68.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,01:08:00,1608569;1895742;985798;1687571;1895740;,1605200;1912261;950230;1698334;,substitution,in,,True,0.0,0.0,LEFT,42,36,68.0,68.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,01:08:00,1608569;1895742;985798;1687571;,1605200;1912261;950230;1698334;1912262;,substitution,in,,True,0.0,0.0,RIGHT,42,36,68.0,68.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,01:08:00,1608569;1895742;985798;1687571;1895740;,1605200;1912261;950230;1698334;1698336;,freethrow,2of2,,True,0.0,0.0,LEFT,42,36,68.0,68.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,01:08:00,1608569;1895742;985798;1687571;1895740;,1605200;1912261;950230;1698334;1912262;,substitution,out,,True,0.0,0.0,RIGHT,42,36,68.0,68.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,01:10:00,1608569;1895742;985798;1687571;1895740;,1605200;1912261;950230;1698334;1698336;,2pt,jumpshot,,True,80.0,64.0,RIGHT,41,36,70.0,70.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,01:24:00,1608569;1895742;985798;1687571;1895740;,1605200;1912261;950230;1698334;1698336;,2pt,layup,2ndchance;pointsinthepaint,True,9.0,44.0,LEFT,41,34,84.0,84.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,01:27:00,1608569;1895742;985798;1687571;1895740;,1605200;1912261;950230;1698334;1698336;,rebound,offensive,,True,0.0,0.0,LEFT,39,34,87.0,87.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,01:30:00,1608569;1895742;985798;1687571;1895740;,1605200;1912261;950230;1698334;1698336;,3pt,jumpshot,,False,35.0,42.0,LEFT,39,34,90.0,90.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,01:49:00,1608569;1895742;985798;1687571;1895740;,1605200;1912261;950230;1698334;1698336;,2pt,drivinglayup,pointsinthepaint,True,89.0,54.0,RIGHT,39,34,109.0,109.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,02:13:00,1608569;1895742;985798;1687571;1895740;,1605200;1912261;950230;1698334;1698336;,3pt,jumpshot,,True,6.0,5.0,LEFT,39,32,133.0,133.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,02:13:00,1608569;1895742;985798;1687571;1895740;,1605200;1912261;950230;1698334;1698336;,assist,,,True,0.0,0.0,LEFT,39,32,133.0,133.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,02:19:00,1608569;1895742;985798;1687571;1895740;,1605200;1912261;950230;1698334;1698336;,rebound,defensive,,True,0.0,0.0,LEFT,36,32,139.0,139.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,02:24:00,1608569;1895742;985798;1687571;1895740;,1605200;1912261;950230;1698334;1698336;,2pt,jumpshot,pointsinthepaint,False,82.0,55.0,RIGHT,36,32,144.0,144.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,02:48:00,1608569;1895742;985798;1687571;1895740;,1605200;1912261;950230;1698334;1698336;,assist,,,True,0.0,0.0,LEFT,36,32,168.0,168.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,02:48:00,1608569;1895742;985798;1687571;1895740;,1605200;1912261;950230;1698334;1698336;,2pt,turnaroundjumpshot,fromturnover,True,23.0,62.0,LEFT,36,32,168.0,168.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,03:00:00,1608569;1895742;985798;1687571;,1605200;1912261;950230;1698334;1698336;,substitution,in,,True,0.0,0.0,RIGHT,34,32,180.0,180.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,03:00:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,foulon,,,True,0.0,0.0,LEFT,34,32,180.0,180.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,03:00:00,1608569;982236;1895742;985798;1687571;,1605200;1912261;950230;1698334;1698336;,substitution,out,,True,0.0,0.0,RIGHT,34,32,180.0,180.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,03:00:00,1608569;982236;1895742;985798;1687571;,1605200;1912261;950230;1698334;,substitution,in,,True,0.0,0.0,LEFT,34,32,180.0,180.0,1,258
33533,2187675,104448,103384,104448,103384,103384,1,03:00:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,foul,offensive,,True,9.0,50.0,RIGHT,34,32,180.0,180.0,1,258
33533,2187675,104448,103384,104448,103384,104448,1,03:00:00,1608569;982236;1895742;985798;1687571;,1311667;1605200;1912261;950230;1698334;,substitution,out,,True,0.0,0.0,LEFT,34,32,180.0,180.0,1,258
